Timestamp,Score,Block,What is your age range?,What is your age range?,What is your gender?,How would you rate your Jenga building skills?,Are you in a hurry right now?,Time Taken,Notes
2/20/2026 15:23:51,,Treatment 1,23,,Female,3,Yes,35.75,little bit- inch
2/20/2026 15:28:53,,Treatment 1,32,,Male,4,No,37.14,
2/20/2026 15:32:09,,Treatment 2,29,,Male,1,No,43.75,
2/20/2026 15:40:52,,Treatment 2,18,,Female,3,No,54.96,she rejected the reward
2/20/2026 15:44:11,,Treatment 1,21,,Male,5,No,39.95,he rejected the reward
2/20/2026 15:46:40,,Treatment 2,21,,Female,3,No,29.71,
2/20/2026 15:48:32,,Treatment 1,21,,Female,4,No,31.55,she volunteered
2/20/2026 15:53:22,,Treatment 1,22,,Male,5,Yes,52.8,
2/20/2026 15:55:33,,Treatment 1,19,,Female,2,No,49.4,
2/20/2026 15:57:46,,Treatment 2,27,,Male,1,Yes,48.94,
2/20/2026 16:00:31,,Control,21,,Female,1,No,30.4,
2/20/2026 16:02:46,,Treatment 1,19,,Female,3,No,26.44,
2/20/2026 16:06:06,,Treatment 2,19,,Male,1,Yes,56.19,
2/20/2026 16:07:50,,Treatment 1,21,,Male,3,Yes,46.5,
